Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c0f5170ed1aa5037d2822a9860c28597ff5b5febb8d3a2ee55f109adccc433e8,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
59a2e1955ebd34be9935d9891ef649452fd3b6bebb447d1824f1e7fdb3d19012,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
0e83f9a6a248dee4860cd62efa5110d80c9b04addc5ef8e529cde541c0ebacd4,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
32e7b42a8ea6405f62bd30bba0861e0ecd296d4f61e496fb992e74a3d0c8c9be,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
7469b9abc1b7b34a126cbce04526ecda6ca34f9bc2eedfa9ff98b6bb04aade62,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
28df6cfb3b7f58e3dddb942d10aae2f68f2aa104d346ac81bc7198124beeae44,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
9cffc4cd184b1353a2f45300ba9442052c426702fe00b96a503e07f30bfa60e4,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
591ad16991e23553b78db9d3f20855613c831862eb9aceb16683d150cc7d95e4,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
4adb44a278a9c25032d9796309909dd22ffaa7dcc3e25e11388980f4fac0c19a,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
ad458868afeee1961d84af9c750c120604040f0de03929935e6c18e376b6b5b9,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
d691fd057f5e46cddaa1ecbd22cced11bff61211c2d54ff1e2fff0a21f028975,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
